inimigo_dir: .word 16, 16
.byte 199,199,19,173,19,19,199,199,199,19,173,19,199,199,199,199,
199,19,182,173,174,19,9,9,99,0,164,91,19,19,199,199,
19,101,255,19,99,9,9,107,18,2,0,11,20,17,18,199,
19,110,255,183,37,99,107,107,180,181,254,166,247,93,199,199,
18,110,183,255,102,17,115,116,116,107,10,167,167,94,199,199,
199,93,110,110,92,107,116,116,116,99,10,95,87,13,22,199,
199,9,26,99,115,116,116,116,116,22,94,166,166,166,166,22,
9,107,116,116,116,116,116,116,22,174,175,22,22,22,175,22,
9,116,116,116,116,116,116,116,22,102,95,86,167,167,167,22,
9,116,116,116,116,116,116,116,116,22,22,86,86,22,19,199,
9,116,116,116,116,116,116,116,116,116,108,107,108,115,16,199,
9,107,116,116,116,116,116,116,116,116,116,116,116,98,9,199,
9,98,107,107,107,116,116,116,116,116,116,107,106,9,199,199,
9,9,107,107,98,98,98,99,107,107,98,33,9,199,199,199,
199,9,42,34,106,116,116,98,9,9,9,9,199,199,199,199,
199,199,199,199,9,25,25,9,199,199,199,199,199,199,199,199,


