blueberry: .word 16, 16
.byte 199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,35,35,199,99,35,35,199,199,199,199,199,
199,199,199,199,199,199,35,99,99,35,199,199,199,199,199,199,
199,199,199,199,66,66,66,35,66,66,66,199,199,199,199,199,
199,199,199,66,66,196,196,196,196,196,66,66,199,199,199,199,
199,199,199,66,196,196,196,196,196,247,196,66,199,199,199,199,
199,199,66,66,196,196,196,196,247,196,196,196,66,199,199,199,
199,199,66,131,131,196,196,196,196,196,196,196,66,199,199,199,
199,199,66,131,131,196,196,196,196,196,196,196,66,199,199,199,
199,199,199,66,131,131,196,196,196,196,196,66,199,199,199,199,
199,199,199,66,131,131,196,196,196,196,196,66,199,199,199,199,
199,199,199,199,66,131,131,131,131,131,66,66,199,199,199,199,
199,199,199,199,199,66,66,66,66,66,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,
199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,199,


