mapacolisaof14:
.byte 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,
0,0,255,255,255,199,255,255,255,255,255,255,255,255,199,255,255,255,0,0,
0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,
0,0,255,255,192,192,192,255,255,255,255,255,255,192,192,192,255,255,0,0,
0,0,255,255,192,255,255,255,255,255,255,255,255,255,255,192,255,255,0,0,
0,0,199,255,192,255,255,255,192,192,192,192,255,255,255,192,255,199,0,0,
0,0,255,255,192,255,199,255,192,192,192,192,255,199,255,192,255,255,0,0,
0,0,255,255,192,255,255,255,192,192,192,192,255,255,255,192,255,255,0,0,
0,0,255,255,192,255,255,255,255,255,255,255,255,255,255,192,255,255,0,0,
0,0,255,255,192,192,192,255,255,255,255,255,255,192,192,192,255,255,0,0,
0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,
0,0,255,255,255,199,255,255,255,255,255,255,255,255,199,255,255,255,0,0,
0,0,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,0,0,
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,


